Matriu de distancies mínimes:
Origen	Destí	Distancia	Predecessor
1	1	0		0
1	2	96		1
1	3	192		2
1	4	168		1
1	5	336		4
1	6	360		3
1	7	289		3
1	8	432		9
1	9	336		4
1	10	432		5
1	11	528		8
1	12	432		9
1	13	528		10
1	14	389		7
1	15	528.25		12
1	16	624.5		15
1	17	584		18
1	18	488		14
1	19	400		7
1	20	680		17
1	21	584		18
1	22	639		11
1	23	596		24
1	24	500		19
2	1	96		2
2	2	0		0
2	3	96		2
2	4	264		1
2	5	360		6
2	6	264		3
2	7	193		3
2	8	528		9
2	9	432		4
2	10	456		5
2	11	624		8
2	12	528		9
2	13	461		14
2	14	293		7
2	15	557.25		13
2	16	584		17
2	17	488		18
2	18	392		14
2	19	304		7
2	20	584		17
2	21	488		18
2	22	673.25		23
2	23	500		24
2	24	404		19
3	1	192		2
3	2	96		3
3	3	0		0
3	4	360		1
3	5	264		6
3	6	168		3
3	7	97		3
3	8	552		9
3	9	456		10
3	10	360		5
3	11	557		12
3	12	461		13
3	13	365		14
3	14	197		7
3	15	461.25		13
3	16	488		17
3	17	392		18
3	18	296		14
3	19	208		7
3	20	488		17
3	21	392		18
3	22	577.25		23
3	23	404		24
3	24	308		19
4	1	96		4
4	2	192		1
4	3	288		2
4	4	0		0
4	5	168		4
4	6	264		5
4	7	385		3
4	8	264		9
4	9	168		4
4	10	264		5
4	11	360		8
4	12	264		9
4	13	360		10
4	14	363		6
4	15	360.25		12
4	16	456.5		15
4	17	459		13
4	18	462		14
4	19	496		7
4	20	555		17
4	21	558		18
4	22	471		11
4	23	644.25		22
4	24	596		19
5	1	192		4
5	2	288		1
5	3	192		6
5	4	96		5
5	5	0		0
5	6	96		5
5	7	289		3
5	8	288		9
5	9	192		10
5	10	96		5
5	11	384		8
5	12	288		9
5	13	192		10
5	14	195		6
5	15	288.25		13
5	16	384.5		15
5	17	291		13
5	18	294		14
5	19	400		7
5	20	387		17
5	21	390		18
5	22	484.5		16
5	23	483		20
5	24	500		19
6	1	288		2
6	2	192		3
6	3	96		6
6	4	192		5
6	5	96		6
6	6	0		0
6	7	193		3
6	8	384		9
6	9	288		10
6	10	192		5
6	11	459		12
6	12	363		13
6	13	267		14
6	14	99		6
6	15	363.25		13
6	16	390		17
6	17	294		18
6	18	198		14
6	19	304		7
6	20	390		17
6	21	294		18
6	22	490		16
6	23	486		20
6	24	404		19
7	1	289		2
7	2	193		3
7	3	97		7
7	4	391		5
7	5	295		6
7	6	199		14
7	7	0		0
7	8	556		9
7	9	460		10
7	10	364		13
7	11	460		12
7	12	364		13
7	13	268		14
7	14	100		7
7	15	364.25		13
7	16	391		17
7	17	295		18
7	18	199		14
7	19	111		7
7	20	391		17
7	21	295		18
7	22	480.25		23
7	23	307		24
7	24	211		19
8	1	288		4
8	2	384		1
8	3	480		2
8	4	192		9
8	5	360		4
8	6	456		5
8	7	484		14
