Matriu de distancies mínimes:
Origen	Destí	Distancia
1	1	0
1	2	96
1	3	192
1	4	168
1	5	336
1	6	360
1	7	289
1	8	432
1	9	336
1	10	432
1	11	528
1	12	432
1	13	528
1	14	389
1	15	528.25
1	16	624.5
1	17	584
1	18	488
1	19	400
1	20	680
1	21	584
1	22	639
1	23	596
1	24	500
2	1	96
2	2	0
2	3	96
2	4	264
2	5	360
2	6	264
2	7	193
2	8	528
2	9	432
2	10	456
2	11	624
2	12	528
2	13	461
2	14	293
2	15	557.25
2	16	584
2	17	488
2	18	392
2	19	304
2	20	584
2	21	488
2	22	673.25
2	23	500
2	24	404
3	1	192
3	2	96
3	3	0
3	4	360
3	5	264
3	6	168
3	7	97
3	8	552
3	9	456
3	10	360
3	11	557
3	12	461
3	13	365
3	14	197
3	15	461.25
3	16	488
3	17	392
3	18	296
3	19	208
3	20	488
3	21	392
3	22	577.25
3	23	404
3	24	308
4	1	96
4	2	192
4	3	288
4	4	0
4	5	168
4	6	264
4	7	385
4	8	264
4	9	168
4	10	264
4	11	360
4	12	264
4	13	360
4	14	363
4	15	360.25
4	16	456.5
4	17	459
4	18	462
4	19	496
4	20	555
4	21	558
4	22	471
4	23	644.25
4	24	596
5	1	192
5	2	288
5	3	192
5	4	96
5	5	0
5	6	96
5	7	289
5	8	288
5	9	192
5	10	96
5	11	384
5	12	288
5	13	192
5	14	195
5	15	288.25
5	16	384.5
5	17	291
5	18	294
5	19	400
5	20	387
5	21	390
5	22	484.5
5	23	483
5	24	500
6	1	288
6	2	192
6	3	96
6	4	192
6	5	96
6	6	0
6	7	193
6	8	384
6	9	288
6	10	192
6	11	459
6	12	363
6	13	267
6	14	99
6	15	363.25
6	16	390
6	17	294
6	18	198
6	19	304
6	20	390
6	21	294
6	22	490
6	23	486
6	24	404
7	1	289
7	2	193
7	3	97
7	4	391
7	5	295
7	6	199
7	7	0
7	8	556
7	9	460
7	10	364
7	11	460
7	12	364
7	13	268
7	14	100
7	15	364.25
7	16	391
7	17	295
7	18	199
7	19	111
7	20	391
7	21	295
7	22	480.25
7	23	307
7	24	211
8	1	288
8	2	384
8	3	480
8	4	192
8	5	360
8	6	456
8	7	484
8	8	0
8	9	96
8	10	192
8	11	96
8	12	192
8	13	288
8	14	384
8	15	288.25
8	16	307
8	17	387
8	18	483
8	19	576.25
8	20	307
8	21	403
8	22	207
8	23	380.25
8	24	476.25
9	1	192
9	2	288
9	3	384
9	4	96
9	5	264
9	6	360
9	7	388
9	8	96
9	9	0
9	10	96
9	11	192
9	12	96
9	13	192
9	14	288
9	15	192.25
9	16	288.5
9	17	291
9	18	387
9	19	499
9	20	387
9	21	483
9	22	303
9	23	476.25
9	24	572.25
10	1	288
10	2	384
10	3	360
10	4	192
10	5	168
10	6	264
10	7	292
10	8	192
10	9	96
10	10	0
10	11	288
10	12	192
10	13	96
10	14	192
10	15	192.25
10	16	288.5
10	17	195
10	18	291
10	19	403
10	20	291
10	21	387
10	22	388.5
10	23	387
10	24	483
11	1	384
11	2	480
11	3	483
11	4	288
11	5	456
11	6	387
11	7	388
11	8	96
11	9	192
11	10	288
11	11	0
11	12	96
11	13	192
11	14	288
11	15	192.25
11	16	211
11	17	291
11	18	387
11	19	480.25
11	20	211
11	21	307
11	22	111
11	23	284.25
11	24	380.25
12	1	288
12	2	384
12	3	387
12	4	192
12	5	360
12	6	291
12	7	292
12	8	192
12	9	96
12	10	192
12	11	96
12	12	0
12	13	96
12	14	192
12	15	96.25
12	16	192.5
12	17	195
12	18	291
12	19	403
12	20	291
12	21	387
12	22	207
12	23	380.25
12	24	476.25
13	1	384
13	2	387
13	3	291
13	4	288
13	5	264
13	6	195
13	7	196
13	8	288
13	9	192
13	10	96
13	11	192
13	12	96
13	13	0
13	14	96
13	15	96.25
13	16	192.5
13	17	99
13	18	195
13	19	307
13	20	195
13	21	291
13	22	292.5
13	23	291
13	24	387
14	1	387
14	2	291
14	3	195
14	4	291
14	5	195
14	6	99
14	7	100
14	8	456
14	9	360
14	10	264
14	11	360
14	12	264
14	13	168
14	14	0
14	15	264.25
14	16	291
14	17	195
14	18	99
14	19	211
14	20	291
14	21	195
14	22	391
14	23	387
14	24	311
15	1	384.25
15	2	480.25
15	3	459.44
15	4	288.25
15	5	432.44
15	6	363.44
15	7	364.44
15	8	288.25
15	9	192.25
15	10	264.44
15	11	192.25
15	12	96.25
15	13	168.44
15	14	264.44
15	15	0
15	16	96.25
15	17	192.25
15	18	288.25
15	19	475.44
15	20	288.25
15	21	384.25
15	22	196.25
15	23	369.5
15	24	465.5
16	1	552.69
16	2	582
16	3	486
16	4	456.69
16	5	459
16	6	390
16	7	391
16	8	307
16	9	360.69
16	10	291
16	11	211
16	12	264.69
16	13	195
16	14	291
16	15	168.44
16	16	0
16	17	96
16	18	192
16	19	469.25
16	20	192
16	21	288
16	22	100
16	23	273.25
16	24	369.25
17	1	483
17	2	486
17	3	390
17	4	387
17	5	363
17	6	294
17	7	295
17	8	387
17	9	291
17	10	195
17	11	291
17	12	195
17	13	99
17	14	195
17	15	195.25
17	16	96
17	17	0
17	18	96
17	19	388
17	20	96
17	21	192
17	22	196
17	23	192
17	24	288
18	1	486
18	2	390
18	3	294
18	4	390
18	5	294
18	6	198
18	7	199
18	8	483
18	9	387
18	10	291
18	11	387
18	12	291
18	13	195
18	14	99
18	15	291.25
18	16	192
18	17	96
18	18	0
18	19	310
18	20	192
18	21	96
18	22	292
18	23	288
18	24	264
19	1	483.25
19	2	387.25
19	3	291.25
19	4	585.25
19	5	489.25
19	6	393.25
19	7	194.25
19	8	576.25
19	9	654.25
19	10	558.25
19	11	480.25
19	12	558.25
19	13	462.25
19	14	294.25
19	15	558.5
19	16	469.25
19	17	388
19	18	364
19	19	0
19	20	292
19	21	196
19	22	369.25
19	23	196
19	24	100
20	1	579
20	2	582
20	3	486
20	4	483
20	5	459
20	6	390
20	7	391
20	8	307
20	9	387
20	10	291
20	11	211
20	12	291
20	13	195
20	14	291
20	15	291.25
20	16	192
20	17	96
20	18	192
20	19	292
20	20	0
20	21	96
20	22	100
20	23	96
20	24	192
21	1	654
21	2	558
21	3	462
21	4	558
21	5	462
21	6	366
21	7	367
21	8	403
21	9	483
21	10	387
21	11	307
21	12	387
21	13	291
21	14	267
21	15	387.25
21	16	288
21	17	192
21	18	168
21	19	268
21	20	96
21	21	0
21	22	196
21	23	192
21	24	168
22	1	495
22	2	591
22	3	586
22	4	399
22	5	559
22	6	490
22	7	491
22	8	207
22	9	303
22	10	391
22	11	111
22	12	207
22	13	295
22	14	391
22	15	268.44
22	16	100
22	17	196
22	18	292
22	19	369.25
22	20	100
22	21	196
