set nusos:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
set origins := 5 21;
set links:=
(5,18)
(18,1)
(1,2)
(13,11)
(20,7)
(1,13)
(1,10)
(2,20)
(2,7)
(7,8)
(7,4)
(8,4)
(4,16)
(21,15)
(15,6)
(6,3)
(3,17)
(6,10)
(10,14)
(14,16)
(16,17)
(17,9)
(9,19)
(19,13)
(19,12)
(11,12)
(12,22);

param final_ob=22;

param taumax:= 	 
5 18 5
18 1 15
1 2 16
2 7 6
7 8 5
4 16 7
21 15 8
15 6 10
6 3 6
10 14 8
1 13 8
16 17 11
14 16 5
17 9 5
13 11 9
9 19 18
12 22 7
1 10 400
6 10 400
3 17 400
2 20 400
20 7 400
8 4 400
11 12 400
19 13 400
19 12 400
7 4 400;

param taumin:= 	 
5 18 1
18 1 10
1 2 12
2 7 2
7 8 1
4 16 3
21 15 4
15 6 6
6 3 2
10 14 4
1 13 4
16 17 7
14 16 1
17 9 1
13 11 5
9 19 14
12 22 3
11 12 0
19 13 0
19 12 0
6 10 0
3 17 0
1 10 0
2 20 0
20 7 0
8 4 0
7 4 0;


